ID,Gender,MARITAL_STATUS,NATIONALITY,IsActiveMember,HasCrdCard,Balance,AGE,AREA_NAME,TYPE_CLIENT,Excited,Account-AGE
77E1A747BA6086C2,female,others,TN,0,0,"2,08",70,AGENCE NABEUL (00),PP,1,41
9417E7F08D8A3935,male,MARIE,TN,0,1,"'-145,38",82,AGENCE HAMMAMET (01),PP,0,41
BDE88DF4DA45A85D,female,others,TN,0,0,"'-198,41",79,AGENCE MAHDIA I (21),PP,0,41
CBDDCD332E563C30,female,others,TN,0,0,"0,4",63,AGENCE HAMMAMET (01),PP,1,41
D553C6AAA401133C,female,others,TN,0,0,"2,77",81,AGENCE LAFAYETTE PP (66),PP,1,41
D648120E41347EED,male,MARIE,TN,0,1,"'-437,96",69,AGENCE NABEUL (00),PP,0,41
085FAAFCA26D7FB0,male,others,TN,1,1,"2,63",71,AGENCE GABES (41),PP,1,40
32D8569597AB1553,female,others,TN,0,0,"'-1175,44",84,AGENCE GABES (41),PP,1,40
39ABF4FDDCC768EF,female,others,TN,1,1,"'-18699,06",21,AGENCE CHARGUIA (64),PM,0,40
6055F9F3758CFCA5,female,others,TN,0,1,"1,56",105,AGENCE HAMMAMET (01),PP,1,40
7F23C736525506CE,female,others,TN,0,0,"'-1526,22",69,AGENCE LAFAYETTE PP (66),PP,0,40
A1CA9143163C61BC,female,others,TN,0,1,"1,17",77,AGENCE EL MENZEH VI (68),PP,1,40
A8995619160D768B,male,others,TN,1,0,"'-985,93",74,AGENCE LAFAYETTE PP (66),PP,1,40
D8E251018C3900DC,female,MARIE,TN,0,1,"'-2048,17",66,AGENCE HAMMAMET (01),PP,0,40
FAE4FF23BDC484E3,female,others,TN,1,1,"1,91",65,AGENCE GABES (41),PP,1,40
"","","","",,,"'-259,57",,AGENCE SAKIET EZZIT (48),"",,39
2B98CF1B9E4C94D4,female,others,TN,1,0,"2,17",65,AGENCE GABES (41),PP,0,39
3985BB07DCABAB47,female,others,TN,1,0,"'-488,05",21,AGENCE CHARGUIA (64),PM,1,39
3D33E420325CB99E,female,MARIE,TN,1,0,"'-131,05",77,AGENCE EL MENZEH VI (68),PP,0,39
3E22DB3BCD8C3AFD,female,others,TN,1,0,"'-300,36",77,AGENCE LAFAYETTE PP (66),PP,0,39
4A6DF7B19ABFA349,female,MARIE,TN,1,0,"3,27",64,AGENCE CHARGUIA (64),PP,0,39
5EA620B9D760C4DE,male,others,TN,1,0,"'-79925,62",21,AGENCE HAMMAMET (01),PM,1,39
66653993C7630924,male,others,TN,0,0,"'-214,33",73,AGENCE LAFAYETTE PP (66),PP,0,39
67B8F273254AFA6A,male,others,TN,1,1,"'-106,55",60,AGENCE JENDOUBA (80),PP,1,39
9755EB95B981B16A,female,others,TN,0,1,"3,22",65,AGENCE GABES (41),PP,1,39
9EC2952B1C75DF36,male,others,TN,0,1,"0,51",40,AGENCE GABES (41),PP,0,39
9F66CFB0DB4E5F29,female,others,TN,1,1,"'-126,12",21,AGENCE NABEUL (00),PM,1,39
A1DF8279B2C64AAE,male,others,TN,1,1,"'-44301,07",21,AGENCE CHARGUIA (64),PM,0,39
B32FB5D9EBA85FAF,male,others,TN,1,0,"1,35",52,AGENCE GABES (41),PP,1,39
C376CA767264DA28,male,others,TN,0,0,"0,47",77,AGENCE BIZERTE (50),PP,1,39
D36C11AF9C52320B,male,MARIE,TN,0,0,"0,51",63,AGENCE JENDOUBA (80),PP,0,39
F6FEFC3B7F3D2688,female,others,TN,0,1,"3,86",102,AGENCE GABES (41),PP,0,39
FCCDD7ABD021772D,male,others,TN,1,1,"1,74",68,AGENCE MAHDIA I (21),PP,1,39
0C13DDE657321542,male,others,TN,0,1,"0,69",67,AGENCE BIZERTE (50),PP,0,38
23703078AEC521C1,male,MARIE,TN,1,0,"'-432,1",64,AGENCE LAFAYETTE PP (66),PP,0,38
2A24AD9B162F07D9,male,MARIE,TN,1,0,"0,19",69,AGENCE KAIROUAN (10),PP,1,38
366E1E395039A64C,female,MARIE,TN,0,0,"'-1939,94",63,AGENCE EL MENZEH I (67),PP,0,38
386355D20212C47B,male,others,TN,1,0,"0,86",68,AGENCE BIZERTE (50),PP,0,38
3F09F5D9F8D1294A,female,others,TN,1,1,"'-397,11",67,AGENCE JENDOUBA (80),PP,1,38
41B3CAA4E9D8A0EC,male,MARIE,TN,1,1,"1,72",61,AGENCE BIZERTE (50),PP,1,38
5663189CAAF55622,male,others,TN,0,1,"3,06",64,AGENCE HAMMAMET (01),PP,0,38
5F448EB5754DB734,female,others,TN,1,0,"'-6,16",59,AGENCE KAIROUAN (10),PP,0,38
5F7B05CA65DD8D98,female,others,TN,1,0,"'-1,98",72,AGENCE EL MENZEH VI (68),PP,1,38
6471A756F8664111,male,others,TN,0,1,"0,49",81,AGENCE BIZERTE (50),PP,0,38
738047C0E0139010,female,MARIE,TN,0,0,"'-1010,73",71,AGENCE LAFAYETTE PP (66),PP,0,38
75EE7286886678E1,female,others,TN,1,0,"'-32,09",111,AGENCE EL MENZEH I (67),PP,0,38
798E4ED8D0CFCE91,female,others,TN,1,0,"3,05",93,AGENCE CHARGUIA (64),PP,0,38
93BF90E3A1420E04,female,others,TN,0,0,"'-142,27",68,AGENCE LAFAYETTE PP (66),PP,0,38
95DCFD8FE74D0759,female,others,TN,1,1,"3,25",39,AGENCE GABES (41),PP,0,38
96EC01D12FB5E107,male,others,TN,1,1,"2,32",86,AGENCE JENDOUBA (80),PP,0,38
980E79D9D213EE20,male,others,TN,0,0,"'-195,6",63,AGENCE BIZERTE (50),PP,0,38
A431CE244B7032A5,female,others,TN,0,1,"1,16",65,AGENCE HAMMAMET (01),PP,0,38
BDF174B9A2524F5E,male,MARIE,TN,0,0,"2,05",77,AGENCE BIZERTE (50),PP,0,38
E0FC78316B628A99,male,others,TN,0,1,"'-144,37",64,AGENCE GABES (41),PP,1,38
E18DEAEA88D59891,male,MARIE,TN,1,1,"'-389,01",66,AGENCE HAMMAMET (01),PP,0,38
EC3056487BD863B5,male,others,TN,1,1,"'-3,57",65,AGENCE BIZERTE (50),PP,0,38
F06499DD105E61BA,male,MARIE,TN,0,0,"'-139,82",61,AGENCE EL MENZEH VI (68),PP,0,38
F3128F5368C4FB30,male,others,TN,1,1,"'-78,02",75,AGENCE EL MENZEH VI (68),PP,0,38
01C88A82CA26D5A8,female,MARIE,TN,0,1,"'-0,12",71,AGENCE EL MENZEH I (67),PP,0,37
069FA1E1C1E63458,male,others,TN,0,1,'-9500,60,AGENCE EL MENZEH I (67),PP,1,37
0D8F91E799C14ECD,female,others,TN,1,0,"0,76",61,AGENCE HAMMAMET (01),PP,1,37
13CFD9EA891D64AF,female,others,TN,1,1,"4,18",38,AGENCE JENDOUBA (80),PP,0,37
17991DD890602878,male,others,TN,1,1,"2,87",78,AGENCE GABES (41),PP,0,37
18D75F2399F9104A,male,others,TN,0,1,"3,47",76,AGENCE MAHDIA I (21),PP,1,37
1DCCD6A078FD3BB2,male,others,TN,0,1,"'-249,66",76,AGENCE KAIROUAN (10),PP,0,37
240AED0EB32B29A3,male,others,TN,1,0,"'-515,63",67,AGENCE CHARGUIA (64),PP,0,37
26F0AD8A4131B0F8,female,MARIE,TN,0,1,"'-6,5",61,AGENCE KAIROUAN (10),PP,0,37
2C1A9186C61667BC,male,others,TN,0,0,"'-55,95",21,AGENCE CHARGUIA (64),PM,1,37
36B362D1AAABB6B6,male,others,TN,0,1,"1,54",79,AGENCE KAIROUAN (10),PP,0,37
3A540F562A5B8E65,female,MARIE,TN,1,1,1,58,AGENCE BIZERTE (50),PP,1,37
4A5935EC79A4234F,female,others,TN,0,0,"1,11",84,AGENCE GABES (41),PP,0,37
59685533CD105731,female,MARIE,TN,0,0,"'-102,97",62,AGENCE GABES (41),PP,0,37
5AD0BEAC9AD92AAD,male,MARIE,TN,0,0,"'-186,75",58,AGENCE LAFAYETTE PP (66),PP,1,37
61CF65F8CA8FFD83,male,others,TN,1,0,"'-16,06",56,AGENCE KAIROUAN (10),PP,0,37
6A6F0D205DADCF24,male,MARIE,TN,1,1,"'-132,77",70,AGENCE CHARGUIA (64),PP,1,37
7A234A739DD4A11E,male,others,TN,0,0,"'-332,22",66,AGENCE JENDOUBA (80),PP,0,37
80EB94FCF8338FEF,male,others,TN,0,0,"'-10,27",60,AGENCE RUE EL JAZIRA II (78),PP,1,37
96F960105649F799,male,others,TN,0,1,"'-665,3",72,AGENCE LAFAYETTE PP (66),PP,1,37
97700A389D48EE49,female,others,TN,0,1,"'-499,25",55,AGENCE RUE EL JAZIRA II (78),PP,0,37
A23880D8CFD37CC8,female,others,TN,1,1,"4,07",59,AGENCE GABES (41),PP,0,37
ADBDDFC890A968C8,male,others,TN,1,0,"'-340,53",60,AGENCE LAFAYETTE PP (66),PP,1,37
AE5D236DA09A1A9D,female,others,TN,0,1,"'-319,87",73,AGENCE EL MENZEH VI (68),PP,1,37
BB207CBA14D3273A,male,MARIE,TN,0,0,"'-47,68",56,AGENCE MAHDIA I (21),PP,0,37
C44FCC46354AF211,female,MARIE,TN,0,0,"'-619,92",65,AGENCE KAIROUAN (10),PP,1,37
CB096C422DF5CF58,male,others,TN,0,1,"0,92",41,AGENCE MAHDIA I (21),PP,0,37
D1F3A4C03537A798,female,others,TN,1,1,"2,41",63,AGENCE HAMMAMET (01),PP,1,37
E054EFAF7F699317,female,others,TN,0,1,"4,09",38,AGENCE NABEUL (00),PP,1,37
E79826D0F65D6DF6,male,others,TN,1,0,"3,8",77,AGENCE BIZERTE (50),PP,0,37
EDAF8219198737F4,female,others,TN,1,0,0,56,AGENCE KAIROUAN (10),PP,0,37
F7664C2A5624FD3E,female,MARIE,TN,1,0,"2,56",62,AGENCE BIZERTE (50),PP,1,37
0425FF7512BC0ECD,male,others,TN,0,0,0,56,AGENCE BIZERTE (50),PP,1,36
11E4CADB4120F096,male,MARIE,TN,0,1,"'-190,52",59,AGENCE BIZERTE (50),PP,0,36
144E530F39ACA37B,male,MARIE,TN,0,1,"'-256,54",72,AG. EL MENZEH VII CITE LATIF (70),PP,1,36
149B91D1EE3B9BFF,female,others,TN,0,0,"'-36,93",67,AGENCE MAHRES (47),PP,1,36
1511BF6AC34F97E7,female,MARIE,TN,1,0,"'-354,66",75,AGENCE MANNOUBA (72),PP,1,36
18E7333F9BE401B5,female,others,TN,1,0,"3,22",69,AGENCE MAHDIA I (21),PP,0,36
1AD9E226ECE213FA,female,MARIE,TN,0,0,"'-951,84",58,AGENCE MAHRES (47),PP,1,36
1B35E31762DD4912,female,MARIE,TN,0,1,2,93,AGENCE HAMMAMET (01),PP,1,36
1B66FBCE4D3018A3,female,MARIE,TN,0,1,"'-907,25",68,AG. EL MENZEH VII CITE LATIF (70),PP,0,36
21E66F288F2108BC,female,others,TN,1,0,"'-1095,66",60,AGENCE KSAR HELLAL (24),PP,0,36
2ABC3D90EE53806E,male,others,TN,1,1,"1,71",56,AGENCE MAHDIA I (21),PP,0,36
3FFF694070B47E0C,male,others,TN,0,0,"'-60782,82",21,AGENCE KSAR HELLAL (24),PM,1,36
5E006ABE0FB218F9,female,MARIE,TN,0,0,"'-1902,08",61,AGENCE HAMMAMET (01),PP,1,36
61FC24444BB6E9DB,male,others,TN,0,1,"0,7",62,AGENCE KAIROUAN (10),PP,0,36
69974AC75C4F9365,female,others,TN,0,1,"1,74",60,AGENCE KSAR HELLAL (24),PP,0,36
7042C8D2ADCEF37D,female,MARIE,TN,1,0,"'-307,37",68,AGENCE EL MENZEH VI (68),PP,1,36
70BBE1A05F00CF8D,female,others,TN,1,1,"0,99",55,AGENCE GABES (41),PP,0,36
74220F296CAB3FB4,female,others,TN,0,0,"'-21,03",94,AGENCE EL MENZEH VI (68),PP,1,36
7444CDFFBA5BAD20,female,MARIE,TN,0,0,"'-144,82",57,AG. EL MENZEH VII CITE LATIF (70),PP,1,36
78D511E5CC6CDFB5,female,MARIE,TN,1,1,"'-237,83",63,AGENCE GABES (41),PP,0,36
7C15C0EA41058638,female,MARIE,TN,1,1,"'-741,56",98,AGENCE MAHRES (47),PP,0,36
9103671D8D2F7BC9,female,others,TN,1,1,"2,77",56,AGENCE RUE EL JAZIRA II (78),PP,0,36
96B576826BCDA298,female,others,TN,0,0,"'-228617,71",21,AGENCE MANNOUBA (72),PM,1,36
9D81697D55DC5E20,male,others,TN,1,1,"0,76",60,AGENCE MAHDIA I (21),PP,1,36
AAF9E85455077C6E,female,others,TN,0,1,"1,71",66,AGENCE HAMMAMET (01),PP,1,36
B60317B04B54E834,male,MARIE,TN,0,0,"'-465,45",59,AG. EL MENZEH VII CITE LATIF (70),PP,1,36
BAF81BD13D3ACD11,female,MARIE,TN,1,1,'-163,60,AGENCE GABES (41),PP,0,36
CAE87CEB86F46B23,female,MARIE,TN,0,1,"'-671,71",63,AGENCE MANNOUBA (72),PP,1,36
CC8992FD35DEBAD0,female,others,TN,0,1,"2,23",71,AGENCE GABES (41),PP,1,36
D3F59B0D840D0E93,male,others,TN,1,1,"'-138,17",57,AGENCE MAHDIA I (21),PP,1,36
D42AA9963EFB35A1,male,others,TN,1,1,"4,17",74,AGENCE NABEUL (00),PP,0,36
DC720AEEB7BBAAD5,male,others,TN,0,0,"'-19364,23",21,AGENCE MAHRES (47),PM,0,36
DDA6E8935D2109D9,female,others,TN,1,0,"'-310,59",92,AGENCE KAIROUAN (10),PP,1,36
E51E88076F5AD726,female,others,TN,1,0,"2,6",65,AGENCE MAHDIA I (21),PP,0,36
E97461967BA3EBEB,female,MARIE,TN,1,0,"0,47",59,AGENCE EL MENZEH VI (68),PP,1,36
EB9E55569C7FFB5F,female,others,TN,1,1,'-980,62,AGENCE TOZEUR (30),PP,0,36
EC77996955E478FA,male,others,TN,1,1,"'-25885,6",21,AGENCE GABES (41),PM,1,36
F0E29712914E6BF9,male,MARIE,TN,0,1,"'-113,69",63,AGENCE GABES (41),PP,0,36
FCE42F063E922B78,male,MARIE,TN,1,0,"'-606,79",67,AGENCE MAHRES (47),PP,0,36
FD0B842126F37AAC,female,others,TN,0,1,"'-313,7",65,AGENCE EL MENZEH VI (68),PP,0,36
01F7E99422FF8E84,female,MARIE,TN,0,1,"'-333,48",68,AGENCE LAFAYETTE PP (66),PP,0,35
036BB335FE0451C1,male,MARIE,TN,1,1,"2,26",21,AGENCE OUESLATIA (11),PM,0,35
10D728C39D726ECB,female,MARIE,TN,1,1,"'-2108,67",83,AGENCE RUE EL JAZIRA II (78),PP,0,35
111B350479D9F165,male,MARIE,TN,0,1,"'-75,13",93,AGENCE EL HENCHA (49),PP,1,35
187AD0A5FB40B873,male,MARIE,TN,1,0,"3,64",67,AGENCE BIZERTE (50),PP,1,35
18DA55A7790744DF,female,others,TN,1,0,"4,03",59,AGENCE BIZERTE (50),PP,0,35
1DD05C94ECD18D3B,female,MARIE,TN,0,0,"'-1746,21",59,AGENCE KSAR HELLAL (24),PP,1,35
1E0E78F04681AEB3,male,MARIE,TN,1,0,"1,51",73,AGENCE MANNOUBA (72),PP,1,35
29D76996A782A755,male,others,TN,0,0,"1,95",88,AGENCE GABES (41),PP,0,35
29DDB3AF5635CCCB,female,others,TN,0,0,"'-2,15",66,AGENCE KSAR HELLAL (24),PP,0,35
2BFC8AC92C697728,male,others,TN,0,1,"1,36",92,AGENCE BIZERTE (50),PP,0,35
31B52CC85A979407,female,others,TN,1,1,"0,36",59,AGENCE LE KRAM (75),PP,1,35
350C497A502672BC,male,others,TN,0,0,"3,27",69,AGENCE SAKIET EZZIT (48),PP,1,35
3E2452EC4B49A679,male,MARIE,TN,1,0,"'-32,34",68,AGENCE JENDOUBA (80),PP,0,35
3F9E3E984492A521,female,others,TN,0,1,"3,29",43,AGENCE LE KRAM (75),PP,0,35
424C70A14CDF9AA0,male,others,TN,0,1,"'-213,9",68,AGENCE LAFAYETTE PP (66),PP,0,35
45A1A56E414DAAC5,female,MARIE,TN,1,0,0,86,AGENCE BIZERTE (50),PP,1,35
49810207817BAA12,male,others,TN,1,0,"'-285,42",62,AGENCE EL MENZEH VI (68),PP,0,35
4982F49EC95C0638,male,MARIE,TN,0,0,"'-434,15",61,AGENCE RUE EL JAZIRA II (78),PP,1,35
52DC52ED2D0FBBAB,female,others,TN,1,1,"0,75",50,AGENCE KSAR HELLAL (24),PP,0,35
5573125B58F31AEB,female,others,TN,1,1,"2,06",68,AGENCE KAIROUAN (10),PP,1,35
596ED2EA945D5E16,female,others,TN,1,1,"'-90,62",59,AGENCE BIZERTE (50),PP,0,35
5B189950AD016BF8,female,MARIE,TN,0,1,"'-124,53",60,AGENCE KAIROUAN (10),PP,1,35
5C109B6CA9894F9A,male,others,TN,0,0,"1,02",61,AGENCE EL MENZEH VI (68),PP,1,35
630336525A30C0BD,female,MARIE,TN,1,0,"'-1050,26",74,AGENCE RUE EL JAZIRA II (78),PP,0,35
630846A0DA079540,female,others,TN,0,1,"2,03",39,AGENCE CHARGUIA (64),PP,0,35
72E0D43C5C65CE80,female,others,TN,1,0,"0,09",74,AGENCE MAHDIA I (21),PP,0,35
7AB3633D0F3800EE,female,others,TN,1,0,"3,94",54,AGENCE RUE EL JAZIRA II (78),PP,0,35
88DE045CDA731F5D,female,others,TN,1,1,"'-1128,94",81,AGENCE EL MENZEH VI (68),PP,1,35
911A976AF31B9A15,female,MARIE,TN,0,0,"'-683,21",62,AGENCE TOZEUR (30),PP,0,35
944C6C84916F4E27,male,others,TN,0,0,"3,3",60,AGENCE NABEUL (00),PP,0,35
9FA3AB6C3FD7854F,female,others,TN,0,0,"'-31,83",53,AGENCE KAIROUAN (10),PP,1,35
A7380E422C06CC1C,female,MARIE,TN,0,1,"'-1466,65",61,AGENCE OUESLATIA (11),PP,0,35
A978FD9353C48519,female,others,TN,0,1,"'-130,1",63,AGENCE KALAA SGHIRA (25),PP,1,35
B6C0C4D83BC9F1A9,female,MARIE,TN,1,0,"'-309,17",57,AGENCE SAKIET EZZIT (48),PP,1,35
BA3E718A59F26F25,male,MARIE,TN,0,0,"'-125,71",59,AGENCE BIZERTE (50),PP,1,35
BBA2B7F855D7843A,male,others,TN,0,1,"0,71",57,AGENCE BIZERTE (50),PP,0,35
BE1E15CDBEA8D47D,female,others,TN,0,0,"'-52,57",65,AGENCE SAKIET EZZIT (48),PP,1,35
CC310F2C2B071A53,male,others,TN,0,1,"'-24,06",21,AGENCE MAHRES (47),PM,1,35
CDE619CA8C5ECDC5,male,MARIE,TN,0,1,"2,73",52,AGENCE OUESLATIA (11),PP,0,35
D6DEC47EB3992E29,female,MARIE,TN,0,0,"'-41,05",62,AGENCE MAHRES (47),PP,0,35
DC0229977A61E331,male,others,TN,1,1,"0,29",57,AGENCE LE KRAM (75),PP,1,35
DC098BCE120B9318,female,MARIE,TN,1,1,"'-947,79",55,AGENCE GABES (41),PP,1,35
EA266E3638080FA5,female,MARIE,TN,1,0,"'-565,45",60,AGENCE NABEUL (00),PP,0,35
F11031C5405AAA8C,female,others,TN,1,0,"0,94",44,AGENCE NABEUL (00),PP,0,35
F32B5FE182026D4D,female,MARIE,TN,0,1,"'-2549,01",65,AGENCE LE BARDO (77),PP,1,35
04D37125E44576B9,male,MARIE,TN,1,0,"'-467,37",79,AGENCE TOZEUR (30),PP,0,34
05DE2486946F9938,female,MARIE,TN,0,1,"'-1050,83",66,AGENCE HAMMAMET (01),PP,1,34
09AC182C35ABE9FE,male,others,TN,1,1,"0,38",60,AGENCE ARIANA LE FORUM (76),PP,1,34
0A8C24D2DB5D354C,male,MARIE,TN,1,1,"'-265,22",72,AGENCE EL MENZEH VI (68),PP,0,34
0C0BCEE79EE7C02C,female,others,TN,0,0,0,60,AGENCE MAHDIA I (21),PP,0,34
0DA8EA3C94AA489F,male,others,TN,1,1,"'-420,12",69,AGENCE KAIROUAN (10),PP,0,34
12E7CB3A55CBE8F2,male,others,TN,1,0,"'-16410,02",21,AGENCE LE BARDO (77),PM,1,34
1712B132923690A7,male,MARIE,TN,0,1,"2,66",63,AGENCE GABES (41),PP,0,34
1A1B36DE703226D3,male,others,TN,1,1,"'-191,66",65,AGENCE ARIANA LE FORUM (76),PP,0,34
2140D5CF9601898E,male,others,TN,1,0,"0,38",71,AGENCE MAHDIA I (21),PP,1,34
22697E740CF22D25,male,MARIE,TN,1,0,"'-2011,31",59,AGENCE MAHRES (47),PP,1,34
2C8952EF8A2C10D0,female,others,TN,0,0,"4,09",92,AGENCE KALAA SGHIRA (25),PP,1,34
302F2BA41A210095,female,MARIE,TN,1,1,"'-704,76",55,AGENCE HAMMAMET (01),PP,1,34
34381FE82D3F09B3,female,others,TN,0,1,"'-14,69",35,AGENCE KALAA SGHIRA (25),PP,0,34
38AA892EFF42A4FF,male,others,TN,1,0,"3,52",61,AGENCE BIZERTE (50),PP,1,34
3AF0946F0E363173,female,MARIE,TN,0,1,"3,4",61,AGENCE OUESLATIA (11),PP,1,34
3D85D30C00698FD4,female,others,TN,1,1,"4,06",61,AGENCE LE BARDO (77),PP,0,34
474F824EDBA89B98,male,others,TN,0,1,"'-0,52",67,AGENCE RUE EL JAZIRA II (78),PP,0,34
478FB37F082CC22D,female,others,TN,1,1,"2,96",35,AGENCE MSAKEN (26),PP,1,34
4896F760CBA23A38,female,MARIE,TN,0,0,"'-373,83",64,AGENCE SFAX CENTRE (31),PP,1,34
49EF52DFACAC8F20,female,MARIE,TN,0,1,"'-3997,85",60,AGENCE MAHDIA I (21),PP,1,34
4C1D5FAD0E4B94E6,female,others,TN,1,1,"2,37",34,AGENCE KSIBET EL MEDIOUNI (27),PP,0,34
4D4F3AE12A413FB8,male,MARIE,TN,1,1,"'-130,76",61,AGENCE SFAX CENTRE (31),PP,0,34
4E3081010964B4D6,female,others,TN,0,1,"0,64",88,AGENCE EL MENZEH I (67),PP,0,34
4F0B9E8F494FAED7,male,others,PK,0,1,"'-29,12",98,AGENCE CHARGUIA (64),PP,0,34
50015E2462CF351D,male,MARIE,TN,1,1,"'-147,07",67,AGENCE NABEUL (00),PP,0,34
54166B997ABFD12A,male,others,TN,0,1,"'-93883,33",21,AGENCE SFAX CENTRE (31),PM,0,34
54185066D8A2F882,male,others,TN,1,1,"'-224,1",21,AGENCE TOZEUR (30),PM,0,34
54A73362A9955FC9,female,MARIE,TN,1,1,"'-1862,02",24,AGENCE EL HENCHA (49),PP,1,34
591E73824DEC7B2D,female,others,TN,0,1,"'-1432,83",59,AGENCE LE KRAM (75),PP,0,34
692DE97CA8EAB995,female,others,TN,1,0,"2,5",67,AGENCE KSAR HELLAL (24),PP,1,34
6A96DA21CC0CF2B0,female,MARIE,TN,0,1,"'-889,2",70,AGENCE NABEUL (00),PP,1,34
6CDD3A33606435CC,female,others,TN,1,0,"'-12,75",78,AGENCE MANNOUBA (72),PP,1,34
6CE8BF836E5AD496,male,CELIB,TN,1,0,"'-111,52",67,AGENCE OUESLATIA (11),PP,0,34
74826824369912D7,male,MARIE,TN,0,1,"'-1200,73",55,AGENCE BIZERTE (50),PP,1,34
766D507167609252,female,others,TN,0,1,"'-13,15",59,AGENCE MANNOUBA (72),PP,1,34
825CE99AA2D200A4,female,MARIE,TN,0,1,"'-8,83",67,AGENCE KSAR HELLAL (24),PP,0,34
8645A5B24AEA0D58,female,MARIE,TN,1,0,"'-111,18",67,AGENCE BIZERTE (50),PP,0,34
89F1900A9A048F45,male,MARIE,TN,1,1,"'-2573,02",16,AGENCE EL HENCHA (49),PP,1,34
8E58143BFCBBFDE5,female,others,TN,1,1,"2,96",55,AGENCE KALAA SGHIRA (25),PP,1,34
9621F5A3189CAB4B,male,others,TN,1,0,"'-309754,5",21,AGENCE CHARGUIA (64),PM,1,34
98F100BA7D76F3AB,female,MARIE,TN,1,0,"'-2982,87",64,AGENCE LE KRAM (75),PP,0,34
9A84D45198D7AAD2,male,MARIE,TN,0,1,"'-89,85",77,AGENCE EL HENCHA (49),PP,0,34
A39883401AF1CE58,female,MARIE,TN,1,1,"0,24",69,AGENCE MAHRES (47),PP,0,34
A5CC80131B233E06,female,MARIE,TN,0,1,"'-1619,27",65,AGENCE NABEUL (00),PP,0,34
A622F79850EA8D88,male,others,TN,0,1,"0,41",82,AGENCE HAMMAMET (01),PP,0,34
A6CC34727EC572A9,male,MARIE,TN,1,1,"'-3,01",59,AGENCE MANNOUBA (72),PP,1,34
B05100281D15437E,male,others,TN,1,1,"'-40,74",79,AGENCE KSAR HELLAL (24),PP,0,34
B13CA86B3CDC5F46,female,MARIE,TN,1,0,"'-86,86",64,AGENCE GABES (41),PP,0,34
B1841BB9526C9CE8,female,others,TN,0,0,"'-1474,62",68,AGENCE LE BARDO (77),PP,1,34
B1E6D1DBC8D78E15,female,others,TN,1,1,"0,1",60,AGENCE BIZERTE (50),PP,1,34
B93A77BE5C420B18,female,others,TN,0,0,"'-10,9",61,AGENCE SFAX CENTRE (31),PP,0,34
B9C90E5FCD0294BD,male,others,TN,0,1,"0,12",39,AGENCE KAIROUAN (10),PP,1,34
C2136CB63EFBA0DE,male,MARIE,TN,0,0,"'-446,7",57,AGENCE SAKIET EZZIT (48),PP,0,34
C2D87ABEB86A53C2,female,others,TN,0,0,"'-1993,02",61,AGENCE BIZERTE (50),PP,1,34
C399CFF500AEF340,female,others,TN,1,1,"2,15",36,AGENCE JENDOUBA (80),PP,1,34
